Age,Gender,Occupation,Income Level,Education Level,Smoking Habit,Social Activity Level,Physical Activity Level,Region,Alcohol Consumption (ml/week)
56,Female,Professional,Low,Master's,Occasional Smoker,Medium,Low,Urban,116.03
69,Female,Retired,High,High School,Regular Smoker,Low,Low,Suburban,299.56
46,Male,Professional,Medium,High School,Occasional Smoker,Low,High,Suburban,138.37
32,Female,Retired,Low,High School,Non-smoker,Medium,High,Urban,17.44
60,Female,Student,Medium,Bachelor's,Occasional Smoker,Low,Medium,Suburban,122.29
25,Female,Student,Low,Bachelor's,Occasional Smoker,Low,Medium,Urban,132.55
38,Male,Student,High,High School,Non-smoker,Medium,Low,Urban,263.03
56,Male,Unemployed,High,High School,Non-smoker,Low,Medium,Urban,212.02
36,Male,Unemployed,Medium,Master's,Occasional Smoker,Medium,Medium,Suburban,149.23
40,Female,Student,Low,High School,Non-smoker,Low,Low,Rural,130.72
28,Female,Unemployed,Medium,High School,Regular Smoker,Medium,High,Suburban,157.03
28,Female,Retired,Low,High School,Non-smoker,High,Low,Suburban,148.67
41,Male,Professional,Low,Bachelor's,Non-smoker,Medium,Low,Suburban,165.53
70,Female,Professional,High,High School,Non-smoker,Medium,Medium,Urban,125.82
53,Male,Professional,Low,Bachelor's,Non-smoker,High,Medium,Rural,286.65
57,Male,Student,Low,High School,Occasional Smoker,Medium,Medium,Urban,250.45
41,Male,Unemployed,High,PhD,Regular Smoker,Low,Low,Rural,368.54
20,Female,Retired,Low,High School,Occasional Smoker,Medium,High,Suburban,33.5
39,Male,Retired,Low,Bachelor's,Non-smoker,High,Medium,Suburban,293.64
70,Female,Student,High,High School,Non-smoker,Medium,Medium,Suburban,179.25
19,Female,Retired,Low,High School,Occasional Smoker,Low,High,Urban,20.32
41,Male,Retired,Medium,Bachelor's,Regular Smoker,Medium,Medium,Suburban,262.28
61,Female,Retired,High,High School,Non-smoker,High,Low,Urban,241.48
47,Male,Retired,High,Master's,Non-smoker,Low,Medium,Suburban,227.06
55,Male,Unemployed,Medium,Master's,Non-smoker,Medium,Low,Suburban,154.79
19,Male,Retired,Low,Master's,Regular Smoker,Low,Low,Rural,288.59
38,Male,Professional,Low,High School,Occasional Smoker,Medium,Medium,Suburban,151.84
50,Female,Student,High,Bachelor's,Non-smoker,Low,High,Urban,156.6
29,Male,Unemployed,High,High School,Non-smoker,Medium,Low,Urban,205.1
39,Female,Retired,Medium,Master's,Regular Smoker,High,Medium,Suburban,327.71
61,Female,Unemployed,Low,Bachelor's,Non-smoker,Medium,Low,Urban,92.5
42,Female,Retired,Low,Master's,Non-smoker,Medium,Medium,Urban,108.62
66,Female,Professional,Low,High School,Non-smoker,Medium,Medium,Rural,89.97
44,Female,Student,Medium,Bachelor's,Non-smoker,Low,Medium,Suburban,154.64
59,Male,Retired,Medium,High School,Non-smoker,Medium,Low,Suburban,191.78
45,Male,Retired,High,Bachelor's,Occasional Smoker,Low,Medium,Urban,214.88
33,Female,Retired,Medium,High School,Regular Smoker,Medium,High,Suburban,159.76
32,Female,Retired,Low,Bachelor's,Occasional Smoker,Low,Medium,Urban,87.69
64,Male,Student,Medium,Bachelor's,Regular Smoker,Medium,Medium,Suburban,373.86
68,Female,Student,Medium,Bachelor's,Non-smoker,High,High,Urban,213.81
61,Male,Professional,Medium,High School,Occasional Smoker,High,Low,Rural,315.06
69,Female,Student,Medium,Bachelor's,Non-smoker,Medium,Medium,Urban,180.78
20,Male,Retired,High,High School,Occasional Smoker,Low,High,Urban,117.74
54,Male,Professional,High,High School,Regular Smoker,Medium,Low,Suburban,317.86
68,Male,Professional,Low,High School,Non-smoker,High,Medium,Suburban,246.03
24,Female,Professional,Low,High School,Non-smoker,Low,Low,Urban,81.34
